                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.735,                 3.0935,                 1.9517,                0.30774,                0.15628,                0.13167,                0.05224,                 2.2813,                 2.8896,                 2.5298,                0.00014,                0.00014,                0.00014
                      2,                 1.6941,                 2.6272,                 1.9219,                0.11574,                0.27344,                0.06395,                 0.0202,                 2.4502,                 4.6187,                 3.1455,             0.00029802,             0.00029802,             0.00029802
                      3,                 1.7138,                 2.6539,                 2.0023,                0.00918,                0.33594,                0.00619,                0.00217,                 2.9191,                 44.823,                  4.004,             0.00045393,             0.00045393,             0.00045393
                      4,                 1.7473,                 2.4379,                  1.958,                0.07188,                0.30469,                0.04453,                0.01241,                 3.0267,                 37.553,                 4.5516,             0.00060772,             0.00060772,             0.00060772
                      5,                 1.8038,                 2.3553,                 2.0593,                0.10051,                 0.1875,                0.05236,                0.01224,                 2.9678,                 17.461,                 4.4263,             0.00075941,             0.00075941,             0.00075941
                      6,                 1.8815,                 2.4369,                 2.0804,                0.00341,                0.29688,                0.00308,                0.00094,                 3.7499,                    inf,                 257.14,             0.00090898,             0.00090898,             0.00090898
                      7,                 1.9456,                 2.5145,                 2.1924,                0.00105,                  0.125,                0.00063,                0.00017,                    nan,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                      8,                 1.8923,                 2.4353,                 2.0933,                0.00059,                0.07031,                0.00032,                0.00011,                 4.6193,                    inf,                 67.387,              0.0012018,              0.0012018,              0.0012018
                      9,                 1.8737,                 2.4386,                 2.0935,                0.00052,                 0.0625,                0.00028,                  9e-05,                 3.7239,                    inf,                 29.653,               0.001345,               0.001345,               0.001345
                     10,                 1.9211,                 2.4454,                 2.1151,                 0.0005,                0.04688,                0.00029,                0.00016,                 3.9975,                    inf,                 211.82,              0.0014861,              0.0014861,              0.0014861
                     11,                 2.0088,                  2.483,                 2.1581,                0.00176,                0.21094,                 0.0016,                0.00052,                 4.2819,                    inf,                 144.18,              0.0016252,              0.0016252,              0.0016252
                     12,                 1.9232,                 2.4621,                 2.1141,                0.00346,                0.20312,                0.00211,                0.00063,                 3.9664,                    inf,                 218.08,              0.0017621,              0.0017621,              0.0017621
                     13,                 1.8676,                  2.264,                 2.0858,                 0.0394,                0.01562,                0.00498,                0.00086,                 3.4449,                 14.629,                 5.2511,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.8976,                 2.3667,                 2.1239,                0.00072,                0.08594,                0.00039,                0.00012,                 4.3692,                    inf,                  17.79,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.8179,                 2.2808,                  2.024,                0.00243,                   0.25,                0.00146,                0.00059,                 3.1064,                    inf,                  13.23,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.9351,                 2.2744,                 2.1186,                0.02169,                0.23438,                0.01401,                0.00422,                 3.2178,                    inf,                 34.399,               0.001802,               0.001802,               0.001802
                     17,                 1.8206,                 2.2604,                 1.9991,                0.01343,                0.26562,                0.00728,                0.00211,                 3.4861,                 221.88,                 14.382,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.7717,                 2.2182,                  1.975,                 0.0108,                0.03906,                0.00446,                0.00125,                 3.5581,                 83.322,                 7.9735,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.8093,                 2.2112,                 1.9626,                 0.0348,                0.13281,                0.01883,                0.00423,                 3.4516,                 45.042,                 5.9914,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.8192,                 2.2036,                 1.9942,                0.04278,                0.07031,                0.01184,                0.00309,                  3.294,                  19.74,                 4.5211,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.7445,                 2.1759,                 2.0159,                0.05059,                0.17969,                0.02928,                0.00712,                 3.4928,                 11.433,                 5.4545,               0.001736,               0.001736,               0.001736
                     22,                 1.7698,                  2.202,                 1.9723,                0.03373,                0.04688,                0.00581,                0.00125,                 3.6175,                 8.3764,                 4.7746,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.8382,                  2.211,                 2.0402,                0.03138,                0.10156,                0.00953,                0.00262,                 3.2339,                 11.076,                 3.9141,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.8457,                 2.1682,                 2.0127,                0.04564,                0.17969,                0.02741,                0.00759,                 2.9024,                 13.364,                 4.0279,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.7336,                 2.1024,                 1.9625,                 0.0363,                 0.1875,                0.01829,                0.00413,                 3.1916,                 6.8504,                 3.9582,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.8259,                 2.1521,                 2.0471,                0.03211,                0.03906,                0.01667,                 0.0048,                 3.1242,                 10.918,                 3.8746,                0.00167,                0.00167,                0.00167
                     27,                 1.7355,                 2.2073,                 1.9575,                0.03446,                0.23438,                0.01916,                0.00553,                 2.7497,                 26.312,                 3.4491,              0.0016568,              0.0016568,              0.0016568
                     28,                   1.72,                 2.1035,                 1.9482,                0.08708,                0.14062,                0.03299,                0.01015,                 2.6889,                 4.7788,                 3.1775,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.7739,                  2.141,                 1.9883,                0.12581,                0.17969,                0.07261,                0.01987,                 2.7915,                 3.8393,                 3.2863,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.7444,                 2.1467,                  1.955,                0.14609,                0.22656,                0.07815,                0.02255,                 2.5296,                 4.1685,                 3.0515,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.7468,                 2.1373,                 1.9501,                0.04291,                 0.4375,                0.02683,                0.00839,                 2.6387,                 10.991,                 3.3575,               0.001604,               0.001604,               0.001604
                     32,                 1.6841,                 2.0452,                 1.9154,                 0.1435,                0.25781,                0.07893,                0.02803,                 2.6294,                 3.8468,                 3.3738,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.6816,                 2.0185,                 1.9136,                0.33195,                0.24219,                0.16389,                0.05911,                 2.4062,                  3.181,                 3.1163,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.7312,                 2.0049,                  1.956,                0.07733,                0.36719,                0.04844,                0.01707,                 2.4367,                 4.9253,                 3.1137,              0.0015644,              0.0015644,              0.0015644
